testCaseId,moduleNo,module
EQEV-50442_platform_Module_02,1,AdminUI
EQEV-50442_platform_Module_02,2,BusyHour
EQEV-50442_platform_Module_02,3,alarm
EQEV-50442_platform_Module_02,4,alarmcfg
EQEV-50442_platform_Module_02,5,common
EQEV-50442_platform_Module_02,6,diskmanager
EQEV-50442_platform_Module_02,7,dwhmanager
EQEV-50442_platform_Module_02,8,ebsmanager
EQEV-50442_platform_Module_02,9,export
EQEV-50442_platform_Module_02,10,helpset_stats
EQEV-50442_platform_Module_02,11,licensing
EQEV-50442_platform_Module_02,12,monitoring
EQEV-50442_platform_Module_02,13,repository
EQEV-50442_platform_Module_02,14,scheduler
EQEV-50442_platform_Module_02,15,statlibs
EQEV-50442_platform_Module_02,16,symboliclinkcreator
EQEV-50442_platform_Module_02,17,uncompress
EQEV-50442_platform_Module_02,18,libs
